review_id,category,period_bin,year,title,sentence,counts_as_category,notes,teacher_reasoning,work_id,uid,sent_id
1,divine_teleology,1750_1799,1757,"[Spectacle de la nature. English]. Spectacle de la nature: or, nature display'd.","Thus has the Goodness and Condescension of God provided for our better Accommodation, in allottin diflerent Talents and Habitations to the several Classes of Animals; it is for us that they are sagacious or stupid, nimble or aukward, tame or savage ; and the Fierceness of some ought to excite our Gratitude and Admiration as much as the Gentleness of others.",,,"This passage explicitly says God allotted animal traits and habitats 'for our better Accommodation' and 'it is for us' that animals have these characteristics. That is a direct claim that animal kinds serve a divinely intended purpose, so it is divine teleology.",pluche|spectacle de la nature or nature display d,ia_bim_eighteenth-century_spectacle-de-la-nature_pluche-noel-antoine_1757,488
2,divine_teleology,1750_1799,1758,The natural history of Iceland,"LIL Concerning the shore-birds eggs. — HE eggs of the sea and shore-birds are of a greenish colour with black or brown spots. ‘They have a thicker shell than land birds, fo ordered, I suppose, by Providence : for as these birds are obliged to seek nourishment at a very great distance from the place where they build, and lay their eggs, and consequently are sometimes a long while absent from their roost, the thickness of the shell must preserve fo much longer the in-",,,"The eggshell's thickness is explained as ordered by Providence for the purpose of preserving the egg while the parent birds are away. This supplies both purpose and divine grounding, satisfying divine_teleology.",horrebov|natural history of iceland,ia_10867536bsb,135
3,divine_teleology,1750_1799,1766,The Young Lady's introduction [sic] to natural history 1766,"The flesh of these animals are fesueculent, substantial, and petfeck, chat we abanden the . guisste dainties e 5 5 them, and are yed with the tefre sument they afford us. It i 3 — the goatʒ und ehe sheep, were con signed to us by Providence for the increase — | our substance.",,,"The passage says these animals serve the purpose of nourishing humans and explicitly attributes that role to Providence. That satisfies both purpose and divine grounding, making it DT.",demarvilleyoungladysintroductiontonaturalhistory|young lady s introduction to natural history 1766,ia_bim_eighteenth-century_the-young-ladys-introdu_demarville-young-lady_1766,171
4,divine_teleology,1750_1799,1770,Illustrations of natural history. Wherein are exhibited upwards of two hundred a,"With a particular DESCRIPTION of each INSECT: Interfperfed with Remarks and Rerrections on the Narurs and PROPERTIES. of many of them. . BAND Meee aes © Yeeeah To which is added hE RAINS LA Pl OaNeinto FRE N CH, —— Each Moss, Each Shell, each crawling Infect, holds a Rank Important in the Plan of Him, who fram’d This Scale of Beings; holds a Rank, which loft Would break the Chain, and leave behind a Gap Which Nature’s felf would rue.",,,"The passage says shells and insects 'hold a Rank' in 'the Plan of Him, who fram'd / This Scale of Beings,' attributing their place and purpose to a divine plan. That is not merely description or divine causation alone, but a purposive ordering of animals by God.",65766,bhl_132647,2
5,divine_teleology,1750_1799,1775,[Forste forsog paa Norges naturlige historie]. The natural history of Norway: ..,"When the horns grow bigger, there breeds within the skin a kind of worm, which eats away the root. The Rein-deer has over his eye-lids a kind of skin, through which he peeps, when otherwise, in the hard showers of snow, he would be obliged to shut his eyes entirely: a very great proof of the Creator's omniscience and benevolence, in providing for each creature's wants, acccording to its destin'd manner of living. Particularly a white dry moss, called thence Rein-deer moss. | | | In BP Rr” SST @ © 7 - —_— .",,,The eyelid structure is explicitly described by the purpose it serves—allowing the reindeer to see in snow—and that provision is attributed to the Creator's benevolent design for each creature's way of life. This satisfies both purpose and divine grounding.,pontoppidan|natural history of norway in two parts translated,ia_bim_eighteenth-century_forste-forsog-paa-norge_pontoppidan-erik-the-y_1775_2,71
6,divine_teleology,1750_1799,1776,British zoology.... - Fourth edition. 1776: Vol 1,"Hun. quad, HERE are many animals in which the Divin the creation, even the most contemptible, by adapt ing the parts to its destined course of life, appco No. 241.",,,"Despite the fragmentary OCR, the passage explicitly says that in animals the Divine appears by 'adapting the parts to its destined course of life.' That attributes the purpose of animal parts to a divine arranger, satisfying both purpose and divine grounding.",|british zoology fourth edition 1776 vol 1,ia_bim_eighteenth-century_british-zoology-fo_1776_1,340
7,divine_teleology,1750_1799,1786,The natural history of birds; containing a variety of facts selected from severa,"As these birds live upon prey only, or animal food, we see how kind Providence has been, in giving them very good eyes to see their prey at a distance ; and strong bills, and strong talons, to pull it in pieces; and they can fly very swiftly to overtake it, If 0.-F: BE. 24 If there were no Vultures in hot countries,. the dead bodies, and the inside of cows and sheep, which are thrown away, would sdon become very offensive, and occasion many disorders among the inhabitants ; besides, they eat the Serpents and Crocodile's eggs, and - prevent them from increasing too fast,",,,"The passage characterizes the birds' organs by the purposes they serve and explicitly attributes this fitting to 'Providence.' That satisfies both purposive function and divine grounding, making it divine_teleology rather than merely functional NDT.",|natural history of birds containing a variety of,ia_bim_eighteenth-century_the-natural-history-of-b_1786,33
8,divine_teleology,1750_1799,1790,"Indian zoology, - Second edition. 1790","AD Providence left the feathered tribe unendowed with any particular instinct, the birds of the torrid zone would have built their nests in the same unguarded manner as those of Europe ; but there the lesser species, having a certain prescience of the dangers that surround them, and of their own weakness, suspend their nests at the extreme branches of the trees; they are conscious of inhabiting a climate replete with enemies to them and their young ; with snakes that twine up the bodies of the trees, and apes that are perpetually in search of prey ; but, heaven instructed, they elude the gliding of the one, and the activity of the other.",,,"The passage defines these birds by a protective instinct and nest-building behavior serving the purpose of avoiding predators, and explicitly attributes that instinct to 'Providence' and being 'heaven instructed.' This satisfies both purposive and divine conditions for divine teleology.",pennant|indian zoology second edition 1790,ia_bim_eighteenth-century_indian-zoology-second_pennant-thomas_1790,112
9,divine_teleology,1750_1799,1790,"The beauties of the creation; or, a new moral system of natural history; display","This beautiful ereature is found upon the Willow, which it perfumes with an odour like that of a rose, so as to scent a whole meadow. Thus, we perceive, that Nature bestows on this insect this most grateful odour, to supply the want of those delightful scents of which meadows ar: deprived by the field flowers being shorn by the scythe of the mower 3 for it is observed, this charming Ceranibyx is produced in its- persect state about the general time of making hay. What care does Providence take to azcommodate man with a never-ceasing variety of c2:ights, adapted to charm every sense ! 10 GANG * > a NATURAL HISTORY. 35 GEN UuSs XVII „ TTT Character.",,,"The insect's odor is explicitly said to be bestowed in order to compensate for lost meadow scents, and this purposive arrangement is attributed to Providence accommodating man. That is a clear case of divine teleology rather than mere observation or divine causation alone.",|beauties of the creation or a new moral,ia_bim_eighteenth-century_1790_2,64
10,divine_teleology,1750_1799,1791,A general history of quadrupeds. The figures engraved upon wood by T. Bewick. Th,"HISTORY OF QUADRUPEDS. This ls antmat is a native of the icy regions of the North; where, by a wise and bountiful dispensation, which diffuses the common goods of Nature over every part of the habitable globe, it abounds, and is made subserrient to the wants of a hardy race of men inhabiting the countries near the pole, who would find it impossible to subsist among their fmowy mountains Wis out the aid of this most useful creature.",,,"The animal is characterized by the role it serves ('made subservient to the wants' of humans), and that role is explicitly framed as the result of a 'wise and bountiful dispensation.' Because the purpose is grounded in divine providence, this is divine teleology rather than non-divine teleology.",beilby|general history of quadrupeds the figures engraved upon,ia_bim_eighteenth-century_a-general-history-of-qua_beilby-ralph_1791,199
